,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355
-40,SE,SE,SE,SE,SE,SE,22.1033,22.1454,22.2004,22.2586,22.6554,22.7071,22.7801,22.808,22.9104,22.9104,23.0024,23.0024,23.1212,23.1607,23.1607,23.2298,23.2298,22.2298,22.2298,23.2016,23.2016,23.0665,22.9938,22.9938,22.9938,22.8998,22.8998,22.8998,22.7435,22.7435,22.7435,22.8639,22.7801,22.7801,22.7801,22.7339,22.7339,22.7339,22.7339,22.598,22.598,22.598,22.598,22.5136,22.5136,22.3686,22.3686,22.235,22.235,22.235,22.0611,22.0611,22.218,22.218,21.9859,21.9859,21.9859,21.7408,21.9486,21.7872,SE,SE,SE,SE,SE,SE
-35,SE,SE,SE,SE,SE,SE,SE,SE,SE,22.3237,22.3924,22.4628,22.5232,22.808,22.9104,22.9104,23.0024,23.0024,23.1212,23.1607,23.1607,23.2298,23.2298,23.2298,22.7904,22.7904,23.0665,23.0665,22.9104,22.9104,22.9104,22.8998,22.7348,22.7348,22.7348,22.7435,33.6554,33.6554,22.7801,22.6896,22.6896,22.6896,22.6304,22.6304,22.6304,22.4844,22.4844,22.4844,22.4844,22.3686,22.3686,22.2124,22.2124,22.066,22.066,22.066,21.8737,21.8737,22.0611,22.0611,21.7872,21.7872,21.7872,21.5397,21.7408,21.5717,SE,SE,SE,SE,SE,SE
-30,SE,SE,SE,SE,SE,SE,SE,SE,22.0808,22.1578,22.235,22.4628,22.5837,22.5837,22.7237,22.8542,22.8542,22.9807,22.9807,22.9807,23.0529,23.0529,23.1237,23.1237,22.7904,22.7904,22.999,22.999,22.999,22.9104,22.7435,22.7435,22.7348,22.7348,22.6304,33.6554,22.5743,22.5743,22.5743,22.606,22.606,22.606,22.5284,22.5284,22.5284,22.3948,22.3305,22.3305,22.3305,22.2124,22.2124,22.1419,22.1419,21.9768,21.9768,21.9768,21.6965,21.6965,21.8737,21.8737,21.5842,21.5842,21.5842,21.3194,21.3356,21.3356,SE,SE,SE,SE,SE,SE
-25,SE,SE,SE,SE,SE,SE,SE,SE,SE,21.9203,22.3181,22.3948,22.4715,22.6304,22.6304,22.7801,22.8542,22.9807,22.9807,22.9807,23.0529,22.999,23.0707,23.0707,23.0707,23.0707,23.0707,22.8639,22.8639,22.8639,22.7435,22.7435,33.6554,22.6304,22.521,22.521,22.5743,22.4989,22.4989,22.521,22.521,22.521,22.4014,22.3948,22.3948,22.3948,22.2757,22.2757,22.2757,22.2757,22.1419,22.1315,22.1315,21.9155,21.9155,21.9155,21.6258,21.6258,21.6965,21.3356,21.3356,21.3356,21.0663,21.3194,21.081,SE,SE,SE,SE,SE,SE,SE
-20,SE,SE,SE,SE,SE,SE,SE,SE,SE,21.9203,22.0287,22.1379,22.2472,22.6304,22.6304,22.7801,22.7801,22.9104,22.9104,22.9104,22.999,22.999,23.0707,23.0707,23.6313,23.6313,23.6313,22.8639,22.8639,22.7801,33.6554,33.6554,22.5743,22.521,22.4216,22.4216,22.4989,22.4014,22.4014,22.4014,22.4014,22.4014,22.3243,22.3243,22.3243,22.3243,22.2639,22.2639,22.2639,22.2639,22.1315,22.1419,22.1419,21.9768,21.9768,21.9768,21.6965,21.6965,21.6258,21.1844,21.1844,21.1844,20.8432,21.0663,SE,SE,SE,SE,SE,SE,SE,SE
-15,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,21.9545,22.2472,22.2472,22.4437,22.4437,22.6319,22.6319,22.7699,22.7699,22.7699,22.8912,22.8912,22.9646,22.9646,22.9646,23.6313,22.8483,22.7801,22.7801,22.6896,22.5743,22.5743,22.4989,22.4989,22.4216,22.3243,22.3243,22.3181,22.3181,22.3181,22.3243,22.3243,22.3243,22.3181,22.3181,22.3181,22.3243,22.2757,22.2757,22.2757,22.1419,22.2124,22.2124,22.066,22.066,22.066,21.8737,21.8737,21.6965,21.3356,21.3356,21.3356,21.0663,SE,SE,SE,SE,SE,SE,SE,SE,SE
-10,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,21.7872,22.0833,22.2937,22.2937,22.2937,22.6319,22.6319,22.7699,22.7699,22.7699,22.8912,22.8912,22.8186,22.8186,22.8186,22.8483,22.7339,22.7339,22.6896,22.6896,22.606,22.4989,22.4014,22.4014,22.3243,22.2236,22.2236,22.2407,22.2407,22.2407,22.218,22.3181,22.3181,22.3243,22.3243,22.3243,22.3948,22.3305,22.3305,22.3305,22.2124,22.3686,22.3686,22.235,22.235,22.235,22.0611,22.0611,21.8737,21.5842,21.5842,21.5842,21.3194,SE,SE,SE,SE,SE,SE,SE,SE,SE
-5,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,21.7872,21.9486,22.1525,22.1525,22.3621,22.4989,22.4989,22.647,22.647,22.647,22.7614,22.7614,22.6387,22.7071,22.7071,22.7339,22.7339,22.6304,22.606,22.606,22.521,22.4014,22.3181,22.3181,22.2236,22.1315,22.1315,22.1315,22.218,22.218,22.2407,22.3243,22.3243,22.4014,22.3948,22.3948,22.5284,22.4844,22.4844,22.4844,22.3686,22.5136,22.5136,22.3948,22.3948,22.3948,22.218,22.218,22.0611,21.7872,21.7872,21.5397,21.5397,21.081,SE,SE,SE,SE,SE,SE,SE,SE
0,SE,SE,SE,SE,SE,SE,SE,SE,SE,21.3356,21.7408,21.7408,21.9859,21.9859,22.218,22.3621,22.3621,22.5284,22.5284,22.5284,22.6387,22.6387,22.5136,22.598,22.598,22.598,22.6304,22.5284,22.5284,22.521,22.4014,22.4014,22.3181,22.2407,22.2407,22.0418,22.0418,22.0418,22.2407,22.2407,22.3181,22.4014,22.4014,22.521,22.5284,22.5284,22.6304,22.598,22.598,22.598,22.5136,22.6387,22.6387,22.5284,22.5284,22.5284,22.3621,22.3621,22.218,21.9859,21.9859,21.7408,21.7408,21.3356,SE,SE,SE,SE,SE,SE,SE,SE
5,SE,SE,SE,SE,SE,SE,SE,SE,SE,21.081,21.5397,21.5397,21.7872,21.7872,22.0611,22.218,22.218,22.3948,22.3948,22.3948,22.5136,22.5136,22.3686,22.4844,22.4844,22.4844,22.5284,22.3948,22.3948,22.4014,22.3243,22.3243,22.2407,22.218,22.218,22.1315,22.1315,22.1315,22.2236,22.3181,22.3181,22.4014,22.521,22.606,22.606,22.6304,22.7339,22.7339,22.7071,22.7071,22.6387,22.7614,22.7614,22.647,22.647,22.647,22.4989,22.4989,22.3621,22.1525,22.1525,21.9486,21.7872,SE,SE,SE,SE,SE,SE,SE,SE,SE
